	mH3	mH2	mH1	thetahS	thetahX	thetaSX	vs	vx
0	255.0	126.0	125.09	0.207	0.146	0.782	220.0	150.0
1	255.0	131.59183673469389	125.09	0.207	0.146	0.782	220.0	150.0
2	255.0	137.18367346938777	125.09	0.207	0.146	0.782	220.0	150.0
3	255.0	142.77551020408163	125.09	0.207	0.146	0.782	220.0	150.0
4	255.0	148.3673469387755	125.09	0.207	0.146	0.782	220.0	150.0
5	255.0	153.9591836734694	125.09	0.207	0.146	0.782	220.0	150.0
6	255.0	159.55102040816325	125.09	0.207	0.146	0.782	220.0	150.0
7	255.0	165.14285714285714	125.09	0.207	0.146	0.782	220.0	150.0
8	255.0	170.73469387755102	125.09	0.207	0.146	0.782	220.0	150.0
9	255.0	176.3265306122449	125.09	0.207	0.146	0.782	220.0	150.0
10	255.0	181.9183673469388	125.09	0.207	0.146	0.782	220.0	150.0
11	255.0	187.51020408163265	125.09	0.207	0.146	0.782	220.0	150.0
12	255.0	193.10204081632654	125.09	0.207	0.146	0.782	220.0	150.0
13	255.0	198.69387755102042	125.09	0.207	0.146	0.782	220.0	150.0
14	255.0	204.28571428571428	125.09	0.207	0.146	0.782	220.0	150.0
15	255.0	209.87755102040816	125.09	0.207	0.146	0.782	220.0	150.0
16	255.0	215.46938775510205	125.09	0.207	0.146	0.782	220.0	150.0
17	255.0	221.06122448979593	125.09	0.207	0.146	0.782	220.0	150.0
18	255.0	226.65306122448982	125.09	0.207	0.146	0.782	220.0	150.0
19	255.0	232.24489795918367	125.09	0.207	0.146	0.782	220.0	150.0
20	255.0	237.83673469387756	125.09	0.207	0.146	0.782	220.0	150.0
21	255.0	243.42857142857144	125.09	0.207	0.146	0.782	220.0	150.0
22	255.0	249.0204081632653	125.09	0.207	0.146	0.782	220.0	150.0
23	255.0	254.6122448979592	125.09	0.207	0.146	0.782	220.0	150.0
24	255.0	260.2040816326531	125.09	0.207	0.146	0.782	220.0	150.0
25	255.0	265.795918367347	125.09	0.207	0.146	0.782	220.0	150.0
26	255.0	271.38775510204084	125.09	0.207	0.146	0.782	220.0	150.0
27	255.0	276.9795918367347	125.09	0.207	0.146	0.782	220.0	150.0
28	255.0	282.57142857142856	125.09	0.207	0.146	0.782	220.0	150.0
29	255.0	288.16326530612247	125.09	0.207	0.146	0.782	220.0	150.0
30	255.0	293.7551020408163	125.09	0.207	0.146	0.782	220.0	150.0
31	255.0	299.34693877551024	125.09	0.207	0.146	0.782	220.0	150.0
32	255.0	304.9387755102041	125.09	0.207	0.146	0.782	220.0	150.0
33	255.0	310.53061224489795	125.09	0.207	0.146	0.782	220.0	150.0
34	255.0	316.12244897959187	125.09	0.207	0.146	0.782	220.0	150.0
35	255.0	321.7142857142857	125.09	0.207	0.146	0.782	220.0	150.0
36	255.0	327.30612244897964	125.09	0.207	0.146	0.782	220.0	150.0
37	255.0	332.8979591836735	125.09	0.207	0.146	0.782	220.0	150.0
38	255.0	338.48979591836735	125.09	0.207	0.146	0.782	220.0	150.0
39	255.0	344.0816326530612	125.09	0.207	0.146	0.782	220.0	150.0
40	255.0	349.6734693877551	125.09	0.207	0.146	0.782	220.0	150.0
41	255.0	355.26530612244903	125.09	0.207	0.146	0.782	220.0	150.0
42	255.0	360.8571428571429	125.09	0.207	0.146	0.782	220.0	150.0
43	255.0	366.44897959183675	125.09	0.207	0.146	0.782	220.0	150.0
44	255.0	372.0408163265306	125.09	0.207	0.146	0.782	220.0	150.0
45	255.0	377.6326530612245	125.09	0.207	0.146	0.782	220.0	150.0
46	255.0	383.2244897959184	125.09	0.207	0.146	0.782	220.0	150.0
47	255.0	388.8163265306123	125.09	0.207	0.146	0.782	220.0	150.0
48	255.0	394.40816326530614	125.09	0.207	0.146	0.782	220.0	150.0
49	255.0	400.0	125.09	0.207	0.146	0.782	220.0	150.0
50	267.14285714285717	126.0	125.09	0.207	0.146	0.782	220.0	150.0
51	267.14285714285717	131.59183673469389	125.09	0.207	0.146	0.782	220.0	150.0
52	267.14285714285717	137.18367346938777	125.09	0.207	0.146	0.782	220.0	150.0
53	267.14285714285717	142.77551020408163	125.09	0.207	0.146	0.782	220.0	150.0
54	267.14285714285717	148.3673469387755	125.09	0.207	0.146	0.782	220.0	150.0
55	267.14285714285717	153.9591836734694	125.09	0.207	0.146	0.782	220.0	150.0
56	267.14285714285717	159.55102040816325	125.09	0.207	0.146	0.782	220.0	150.0
57	267.14285714285717	165.14285714285714	125.09	0.207	0.146	0.782	220.0	150.0
58	267.14285714285717	170.73469387755102	125.09	0.207	0.146	0.782	220.0	150.0
59	267.14285714285717	176.3265306122449	125.09	0.207	0.146	0.782	220.0	150.0
60	267.14285714285717	181.9183673469388	125.09	0.207	0.146	0.782	220.0	150.0
61	267.14285714285717	187.51020408163265	125.09	0.207	0.146	0.782	220.0	150.0
62	267.14285714285717	193.10204081632654	125.09	0.207	0.146	0.782	220.0	150.0
63	267.14285714285717	198.69387755102042	125.09	0.207	0.146	0.782	220.0	150.0
64	267.14285714285717	204.28571428571428	125.09	0.207	0.146	0.782	220.0	150.0
65	267.14285714285717	209.87755102040816	125.09	0.207	0.146	0.782	220.0	150.0
66	267.14285714285717	215.46938775510205	125.09	0.207	0.146	0.782	220.0	150.0
67	267.14285714285717	221.06122448979593	125.09	0.207	0.146	0.782	220.0	150.0
68	267.14285714285717	226.65306122448982	125.09	0.207	0.146	0.782	220.0	150.0
69	267.14285714285717	232.24489795918367	125.09	0.207	0.146	0.782	220.0	150.0
70	267.14285714285717	237.83673469387756	125.09	0.207	0.146	0.782	220.0	150.0
71	267.14285714285717	243.42857142857144	125.09	0.207	0.146	0.782	220.0	150.0
72	267.14285714285717	249.0204081632653	125.09	0.207	0.146	0.782	220.0	150.0
73	267.14285714285717	254.6122448979592	125.09	0.207	0.146	0.782	220.0	150.0
74	267.14285714285717	260.2040816326531	125.09	0.207	0.146	0.782	220.0	150.0
75	267.14285714285717	265.795918367347	125.09	0.207	0.146	0.782	220.0	150.0
76	267.14285714285717	271.38775510204084	125.09	0.207	0.146	0.782	220.0	150.0
77	267.14285714285717	276.9795918367347	125.09	0.207	0.146	0.782	220.0	150.0
78	267.14285714285717	282.57142857142856	125.09	0.207	0.146	0.782	220.0	150.0
79	267.14285714285717	288.16326530612247	125.09	0.207	0.146	0.782	220.0	150.0
80	267.14285714285717	293.7551020408163	125.09	0.207	0.146	0.782	220.0	150.0
81	267.14285714285717	299.34693877551024	125.09	0.207	0.146	0.782	220.0	150.0
82	267.14285714285717	304.9387755102041	125.09	0.207	0.146	0.782	220.0	150.0
83	267.14285714285717	310.53061224489795	125.09	0.207	0.146	0.782	220.0	150.0
84	267.14285714285717	316.12244897959187	125.09	0.207	0.146	0.782	220.0	150.0
85	267.14285714285717	321.7142857142857	125.09	0.207	0.146	0.782	220.0	150.0
86	267.14285714285717	327.30612244897964	125.09	0.207	0.146	0.782	220.0	150.0
87	267.14285714285717	332.8979591836735	125.09	0.207	0.146	0.782	220.0	150.0
88	267.14285714285717	338.48979591836735	125.09	0.207	0.146	0.782	220.0	150.0
89	267.14285714285717	344.0816326530612	125.09	0.207	0.146	0.782	220.0	150.0
90	267.14285714285717	349.6734693877551	125.09	0.207	0.146	0.782	220.0	150.0
91	267.14285714285717	355.26530612244903	125.09	0.207	0.146	0.782	220.0	150.0
92	267.14285714285717	360.8571428571429	125.09	0.207	0.146	0.782	220.0	150.0
93	267.14285714285717	366.44897959183675	125.09	0.207	0.146	0.782	220.0	150.0
94	267.14285714285717	372.0408163265306	125.09	0.207	0.146	0.782	220.0	150.0
95	267.14285714285717	377.6326530612245	125.09	0.207	0.146	0.782	220.0	150.0
96	267.14285714285717	383.2244897959184	125.09	0.207	0.146	0.782	220.0	150.0
97	267.14285714285717	388.8163265306123	125.09	0.207	0.146	0.782	220.0	150.0
98	267.14285714285717	394.40816326530614	125.09	0.207	0.146	0.782	220.0	150.0
99	267.14285714285717	400.0	125.09	0.207	0.146	0.782	220.0	150.0
100	279.2857142857143	126.0	125.09	0.207	0.146	0.782	220.0	150.0
101	279.2857142857143	131.59183673469389	125.09	0.207	0.146	0.782	220.0	150.0
102	279.2857142857143	137.18367346938777	125.09	0.207	0.146	0.782	220.0	150.0
103	279.2857142857143	142.77551020408163	125.09	0.207	0.146	0.782	220.0	150.0
104	279.2857142857143	148.3673469387755	125.09	0.207	0.146	0.782	220.0	150.0
105	279.2857142857143	153.9591836734694	125.09	0.207	0.146	0.782	220.0	150.0
106	279.2857142857143	159.55102040816325	125.09	0.207	0.146	0.782	220.0	150.0
107	279.2857142857143	165.14285714285714	125.09	0.207	0.146	0.782	220.0	150.0
108	279.2857142857143	170.73469387755102	125.09	0.207	0.146	0.782	220.0	150.0
109	279.2857142857143	176.3265306122449	125.09	0.207	0.146	0.782	220.0	150.0
110	279.2857142857143	181.9183673469388	125.09	0.207	0.146	0.782	220.0	150.0
111	279.2857142857143	187.51020408163265	125.09	0.207	0.146	0.782	220.0	150.0
112	279.2857142857143	193.10204081632654	125.09	0.207	0.146	0.782	220.0	150.0
113	279.2857142857143	198.69387755102042	125.09	0.207	0.146	0.782	220.0	150.0
114	279.2857142857143	204.28571428571428	125.09	0.207	0.146	0.782	220.0	150.0
115	279.2857142857143	209.87755102040816	125.09	0.207	0.146	0.782	220.0	150.0
116	279.2857142857143	215.46938775510205	125.09	0.207	0.146	0.782	220.0	150.0
117	279.2857142857143	221.06122448979593	125.09	0.207	0.146	0.782	220.0	150.0
118	279.2857142857143	226.65306122448982	125.09	0.207	0.146	0.782	220.0	150.0
119	279.2857142857143	232.24489795918367	125.09	0.207	0.146	0.782	220.0	150.0
120	279.2857142857143	237.83673469387756	125.09	0.207	0.146	0.782	220.0	150.0
121	279.2857142857143	243.42857142857144	125.09	0.207	0.146	0.782	220.0	150.0
122	279.2857142857143	249.0204081632653	125.09	0.207	0.146	0.782	220.0	150.0
123	279.2857142857143	254.6122448979592	125.09	0.207	0.146	0.782	220.0	150.0
124	279.2857142857143	260.2040816326531	125.09	0.207	0.146	0.782	220.0	150.0
125	279.2857142857143	265.795918367347	125.09	0.207	0.146	0.782	220.0	150.0
126	279.2857142857143	271.38775510204084	125.09	0.207	0.146	0.782	220.0	150.0
127	279.2857142857143	276.9795918367347	125.09	0.207	0.146	0.782	220.0	150.0
128	279.2857142857143	282.57142857142856	125.09	0.207	0.146	0.782	220.0	150.0
129	279.2857142857143	288.16326530612247	125.09	0.207	0.146	0.782	220.0	150.0
130	279.2857142857143	293.7551020408163	125.09	0.207	0.146	0.782	220.0	150.0
131	279.2857142857143	299.34693877551024	125.09	0.207	0.146	0.782	220.0	150.0
132	279.2857142857143	304.9387755102041	125.09	0.207	0.146	0.782	220.0	150.0
133	279.2857142857143	310.53061224489795	125.09	0.207	0.146	0.782	220.0	150.0
134	279.2857142857143	316.12244897959187	125.09	0.207	0.146	0.782	220.0	150.0
135	279.2857142857143	321.7142857142857	125.09	0.207	0.146	0.782	220.0	150.0
136	279.2857142857143	327.30612244897964	125.09	0.207	0.146	0.782	220.0	150.0
137	279.2857142857143	332.8979591836735	125.09	0.207	0.146	0.782	220.0	150.0
