,mH1,mH2,mH3
0,16.375,125.09,157.16666666666666
1,16.375,125.09,172.75
2,21.5,125.09,172.75
3,21.5,125.09,188.33333333333334
4,21.5,125.09,203.91666666666669
5,26.625,125.09,172.75
6,26.625,125.09,188.33333333333334
7,26.625,125.09,203.91666666666669
8,26.625,125.09,219.5
9,26.625,125.09,235.08333333333334
10,31.75,125.09,172.75
11,31.75,125.09,188.33333333333334
12,31.75,125.09,203.91666666666669
13,31.75,125.09,219.5
14,31.75,125.09,235.08333333333334
15,36.875,125.09,188.33333333333334
16,36.875,125.09,203.91666666666669
17,36.875,125.09,219.5
18,36.875,125.09,235.08333333333334
19,42.0,125.09,188.33333333333334
20,42.0,125.09,203.91666666666669
21,42.0,125.09,219.5
22,42.0,125.09,235.08333333333334
23,47.125,125.09,188.33333333333334
24,47.125,125.09,203.91666666666669
25,47.125,125.09,219.5
26,47.125,125.09,235.08333333333334
27,52.25,125.09,203.91666666666669
28,52.25,125.09,219.5
29,52.25,125.09,235.08333333333334
30,57.375,125.09,203.91666666666669
31,57.375,125.09,219.5
32,57.375,125.09,235.08333333333334
33,62.5,125.09,203.91666666666669
34,62.5,125.09,219.5
35,62.5,125.09,235.08333333333334
36,67.625,125.09,219.5
37,67.625,125.09,235.08333333333334
38,72.75,125.09,219.5
39,72.75,125.09,235.08333333333334
40,77.875,125.09,219.5
41,77.875,125.09,235.08333333333334
42,83.0,125.09,235.08333333333334
43,88.125,125.09,235.08333333333334
44,93.25,125.09,235.08333333333334
