	mH1	mH2	mH3
0	125.09	141.58333333333334	304.375
1	125.09	141.58333333333334	320.8333333333333
2	125.09	141.58333333333334	337.29166666666663
3	125.09	141.58333333333334	353.75
4	125.09	141.58333333333334	370.2083333333333
5	125.09	141.58333333333334	386.66666666666663
6	125.09	141.58333333333334	403.125
7	125.09	141.58333333333334	419.5833333333333
8	125.09	141.58333333333334	436.04166666666663
9	125.09	141.58333333333334	452.5
10	125.09	141.58333333333334	468.9583333333333
11	125.09	141.58333333333334	485.41666666666663
12	125.09	141.58333333333334	501.875
13	125.09	141.58333333333334	518.3333333333333
14	125.09	157.16666666666666	337.29166666666663
15	125.09	157.16666666666666	353.75
16	125.09	157.16666666666666	370.2083333333333
17	125.09	157.16666666666666	386.66666666666663
18	125.09	157.16666666666666	403.125
19	125.09	157.16666666666666	419.5833333333333
20	125.09	157.16666666666666	436.04166666666663
21	125.09	157.16666666666666	452.5
22	125.09	157.16666666666666	468.9583333333333
23	125.09	157.16666666666666	485.41666666666663
24	125.09	157.16666666666666	501.875
25	125.09	157.16666666666666	518.3333333333333
26	125.09	157.16666666666666	534.7916666666666
27	125.09	157.16666666666666	551.25
28	125.09	157.16666666666666	567.7083333333333
29	125.09	172.75	370.2083333333333
30	125.09	172.75	386.66666666666663
31	125.09	172.75	403.125
32	125.09	172.75	419.5833333333333
33	125.09	172.75	436.04166666666663
34	125.09	172.75	452.5
35	125.09	172.75	468.9583333333333
36	125.09	172.75	485.41666666666663
37	125.09	172.75	501.875
38	125.09	172.75	518.3333333333333
39	125.09	172.75	534.7916666666666
40	125.09	172.75	551.25
41	125.09	172.75	567.7083333333333
42	125.09	188.33333333333334	403.125
43	125.09	188.33333333333334	419.5833333333333
44	125.09	188.33333333333334	436.04166666666663
45	125.09	188.33333333333334	452.5
46	125.09	188.33333333333334	468.9583333333333
47	125.09	188.33333333333334	485.41666666666663
48	125.09	188.33333333333334	501.875
49	125.09	188.33333333333334	518.3333333333333
50	125.09	188.33333333333334	534.7916666666666
51	125.09	188.33333333333334	551.25
52	125.09	188.33333333333334	567.7083333333333
53	125.09	203.91666666666669	436.04166666666663
54	125.09	203.91666666666669	452.5
55	125.09	203.91666666666669	468.9583333333333
56	125.09	203.91666666666669	485.41666666666663
57	125.09	203.91666666666669	501.875
58	125.09	203.91666666666669	518.3333333333333
59	125.09	203.91666666666669	534.7916666666666
60	125.09	203.91666666666669	551.25
61	125.09	219.5	468.9583333333333
62	125.09	219.5	485.41666666666663
63	125.09	219.5	501.875
64	125.09	219.5	518.3333333333333
65	125.09	219.5	534.7916666666666
66	125.09	219.5	551.25
67	125.09	235.08333333333334	501.875
68	125.09	235.08333333333334	518.3333333333333
69	125.09	235.08333333333334	534.7916666666666
70	125.09	235.08333333333334	551.25
71	125.09	250.66666666666669	534.7916666666666
