	mH3	mH1	mH2	thetahS	thetahX	thetaSX	vs	vx
0	126.0	1.0	125.09	1.352	1.175	-0.407	120.0	890.0
1	126.0	2.242424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
2	126.0	3.484848484848485	125.09	1.352	1.175	-0.407	120.0	890.0
3	126.0	4.7272727272727275	125.09	1.352	1.175	-0.407	120.0	890.0
4	126.0	5.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
5	126.0	7.212121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
6	126.0	8.454545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
7	126.0	9.696969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
8	126.0	10.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
9	126.0	12.181818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
10	126.0	13.424242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
11	126.0	14.666666666666666	125.09	1.352	1.175	-0.407	120.0	890.0
12	126.0	15.90909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
13	126.0	17.151515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
14	126.0	18.393939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
15	126.0	19.636363636363637	125.09	1.352	1.175	-0.407	120.0	890.0
16	126.0	20.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
17	126.0	22.12121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
18	126.0	23.363636363636363	125.09	1.352	1.175	-0.407	120.0	890.0
19	126.0	24.606060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
20	126.0	25.848484848484848	125.09	1.352	1.175	-0.407	120.0	890.0
21	126.0	27.09090909090909	125.09	1.352	1.175	-0.407	120.0	890.0
22	126.0	28.333333333333332	125.09	1.352	1.175	-0.407	120.0	890.0
23	126.0	29.575757575757574	125.09	1.352	1.175	-0.407	120.0	890.0
24	126.0	30.81818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
25	126.0	32.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
26	126.0	33.303030303030305	125.09	1.352	1.175	-0.407	120.0	890.0
27	126.0	34.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
28	126.0	35.78787878787879	125.09	1.352	1.175	-0.407	120.0	890.0
29	126.0	37.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
30	126.0	38.27272727272727	125.09	1.352	1.175	-0.407	120.0	890.0
31	126.0	39.515151515151516	125.09	1.352	1.175	-0.407	120.0	890.0
32	126.0	40.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
33	126.0	42.0	125.09	1.352	1.175	-0.407	120.0	890.0
34	126.0	43.24242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
35	126.0	44.484848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
36	126.0	45.72727272727273	125.09	1.352	1.175	-0.407	120.0	890.0
37	126.0	46.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
38	126.0	48.21212121212121	125.09	1.352	1.175	-0.407	120.0	890.0
39	126.0	49.45454545454545	125.09	1.352	1.175	-0.407	120.0	890.0
40	126.0	50.696969696969695	125.09	1.352	1.175	-0.407	120.0	890.0
41	126.0	51.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
42	126.0	53.18181818181818	125.09	1.352	1.175	-0.407	120.0	890.0
43	126.0	54.42424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
44	126.0	55.666666666666664	125.09	1.352	1.175	-0.407	120.0	890.0
45	126.0	56.90909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
46	126.0	58.15151515151515	125.09	1.352	1.175	-0.407	120.0	890.0
47	126.0	59.39393939393939	125.09	1.352	1.175	-0.407	120.0	890.0
48	126.0	60.63636363636364	125.09	1.352	1.175	-0.407	120.0	890.0
49	126.0	61.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
50	126.0	63.121212121212125	125.09	1.352	1.175	-0.407	120.0	890.0
51	126.0	64.36363636363637	125.09	1.352	1.175	-0.407	120.0	890.0
52	126.0	65.60606060606061	125.09	1.352	1.175	-0.407	120.0	890.0
53	126.0	66.84848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
54	126.0	68.0909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
55	126.0	69.33333333333333	125.09	1.352	1.175	-0.407	120.0	890.0
56	126.0	70.57575757575758	125.09	1.352	1.175	-0.407	120.0	890.0
57	126.0	71.81818181818181	125.09	1.352	1.175	-0.407	120.0	890.0
58	126.0	73.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
59	126.0	74.3030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
60	126.0	75.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
61	126.0	76.78787878787878	125.09	1.352	1.175	-0.407	120.0	890.0
62	126.0	78.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
63	126.0	79.27272727272727	125.09	1.352	1.175	-0.407	120.0	890.0
64	126.0	80.51515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
65	126.0	81.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
66	126.0	83.0	125.09	1.352	1.175	-0.407	120.0	890.0
67	126.0	84.24242424242425	125.09	1.352	1.175	-0.407	120.0	890.0
68	126.0	85.48484848484848	125.09	1.352	1.175	-0.407	120.0	890.0
69	126.0	86.72727272727273	125.09	1.352	1.175	-0.407	120.0	890.0
70	126.0	87.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
71	126.0	89.21212121212122	125.09	1.352	1.175	-0.407	120.0	890.0
72	126.0	90.45454545454545	125.09	1.352	1.175	-0.407	120.0	890.0
73	126.0	91.6969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
74	126.0	92.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
75	126.0	94.18181818181819	125.09	1.352	1.175	-0.407	120.0	890.0
76	126.0	95.42424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
77	126.0	96.66666666666667	125.09	1.352	1.175	-0.407	120.0	890.0
78	126.0	97.9090909090909	125.09	1.352	1.175	-0.407	120.0	890.0
79	126.0	99.15151515151516	125.09	1.352	1.175	-0.407	120.0	890.0
80	126.0	100.39393939393939	125.09	1.352	1.175	-0.407	120.0	890.0
81	126.0	101.63636363636364	125.09	1.352	1.175	-0.407	120.0	890.0
82	126.0	102.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
83	126.0	104.12121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
84	126.0	105.36363636363636	125.09	1.352	1.175	-0.407	120.0	890.0
85	126.0	106.60606060606061	125.09	1.352	1.175	-0.407	120.0	890.0
86	126.0	107.84848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
87	126.0	109.0909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
88	126.0	110.33333333333333	125.09	1.352	1.175	-0.407	120.0	890.0
89	126.0	111.57575757575758	125.09	1.352	1.175	-0.407	120.0	890.0
90	126.0	112.81818181818181	125.09	1.352	1.175	-0.407	120.0	890.0
91	126.0	114.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
92	126.0	115.3030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
93	126.0	116.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
94	126.0	117.78787878787878	125.09	1.352	1.175	-0.407	120.0	890.0
95	126.0	119.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
96	126.0	120.27272727272728	125.09	1.352	1.175	-0.407	120.0	890.0
97	126.0	121.51515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
98	126.0	122.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
99	126.0	124.0	125.09	1.352	1.175	-0.407	120.0	890.0
100	129.77777777777777	1.0	125.09	1.352	1.175	-0.407	120.0	890.0
101	129.77777777777777	2.242424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
102	129.77777777777777	3.484848484848485	125.09	1.352	1.175	-0.407	120.0	890.0
103	129.77777777777777	4.7272727272727275	125.09	1.352	1.175	-0.407	120.0	890.0
104	129.77777777777777	5.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
105	129.77777777777777	7.212121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
106	129.77777777777777	8.454545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
107	129.77777777777777	9.696969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
108	129.77777777777777	10.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
109	129.77777777777777	12.181818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
110	129.77777777777777	13.424242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
111	129.77777777777777	14.666666666666666	125.09	1.352	1.175	-0.407	120.0	890.0
112	129.77777777777777	15.90909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
113	129.77777777777777	17.151515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
114	129.77777777777777	18.393939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
115	129.77777777777777	19.636363636363637	125.09	1.352	1.175	-0.407	120.0	890.0
116	129.77777777777777	20.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
117	129.77777777777777	22.12121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
118	129.77777777777777	23.363636363636363	125.09	1.352	1.175	-0.407	120.0	890.0
119	129.77777777777777	24.606060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
120	129.77777777777777	25.848484848484848	125.09	1.352	1.175	-0.407	120.0	890.0
121	129.77777777777777	27.09090909090909	125.09	1.352	1.175	-0.407	120.0	890.0
122	129.77777777777777	28.333333333333332	125.09	1.352	1.175	-0.407	120.0	890.0
123	129.77777777777777	29.575757575757574	125.09	1.352	1.175	-0.407	120.0	890.0
124	129.77777777777777	30.81818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
125	129.77777777777777	32.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
126	129.77777777777777	33.303030303030305	125.09	1.352	1.175	-0.407	120.0	890.0
127	129.77777777777777	34.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
128	129.77777777777777	35.78787878787879	125.09	1.352	1.175	-0.407	120.0	890.0
129	129.77777777777777	37.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
130	129.77777777777777	38.27272727272727	125.09	1.352	1.175	-0.407	120.0	890.0
131	129.77777777777777	39.515151515151516	125.09	1.352	1.175	-0.407	120.0	890.0
132	129.77777777777777	40.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
133	129.77777777777777	42.0	125.09	1.352	1.175	-0.407	120.0	890.0
134	129.77777777777777	43.24242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
135	129.77777777777777	44.484848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
136	129.77777777777777	45.72727272727273	125.09	1.352	1.175	-0.407	120.0	890.0
137	129.77777777777777	46.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
138	129.77777777777777	48.21212121212121	125.09	1.352	1.175	-0.407	120.0	890.0
139	129.77777777777777	49.45454545454545	125.09	1.352	1.175	-0.407	120.0	890.0
140	129.77777777777777	50.696969696969695	125.09	1.352	1.175	-0.407	120.0	890.0
141	129.77777777777777	51.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
142	129.77777777777777	53.18181818181818	125.09	1.352	1.175	-0.407	120.0	890.0
143	129.77777777777777	54.42424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
144	129.77777777777777	55.666666666666664	125.09	1.352	1.175	-0.407	120.0	890.0
145	129.77777777777777	56.90909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
146	129.77777777777777	58.15151515151515	125.09	1.352	1.175	-0.407	120.0	890.0
147	129.77777777777777	59.39393939393939	125.09	1.352	1.175	-0.407	120.0	890.0
148	129.77777777777777	60.63636363636364	125.09	1.352	1.175	-0.407	120.0	890.0
149	129.77777777777777	61.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
150	129.77777777777777	63.121212121212125	125.09	1.352	1.175	-0.407	120.0	890.0
151	129.77777777777777	64.36363636363637	125.09	1.352	1.175	-0.407	120.0	890.0
152	129.77777777777777	65.60606060606061	125.09	1.352	1.175	-0.407	120.0	890.0
153	129.77777777777777	66.84848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
154	129.77777777777777	68.0909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
155	129.77777777777777	69.33333333333333	125.09	1.352	1.175	-0.407	120.0	890.0
156	129.77777777777777	70.57575757575758	125.09	1.352	1.175	-0.407	120.0	890.0
157	129.77777777777777	71.81818181818181	125.09	1.352	1.175	-0.407	120.0	890.0
158	129.77777777777777	73.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
159	129.77777777777777	74.3030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
160	129.77777777777777	75.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
161	129.77777777777777	76.78787878787878	125.09	1.352	1.175	-0.407	120.0	890.0
162	129.77777777777777	78.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
163	129.77777777777777	79.27272727272727	125.09	1.352	1.175	-0.407	120.0	890.0
164	129.77777777777777	80.51515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
165	129.77777777777777	81.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
166	129.77777777777777	83.0	125.09	1.352	1.175	-0.407	120.0	890.0
167	129.77777777777777	84.24242424242425	125.09	1.352	1.175	-0.407	120.0	890.0
168	129.77777777777777	85.48484848484848	125.09	1.352	1.175	-0.407	120.0	890.0
169	129.77777777777777	86.72727272727273	125.09	1.352	1.175	-0.407	120.0	890.0
170	129.77777777777777	87.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
171	129.77777777777777	89.21212121212122	125.09	1.352	1.175	-0.407	120.0	890.0
172	129.77777777777777	90.45454545454545	125.09	1.352	1.175	-0.407	120.0	890.0
173	129.77777777777777	91.6969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
174	129.77777777777777	92.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
175	129.77777777777777	94.18181818181819	125.09	1.352	1.175	-0.407	120.0	890.0
176	129.77777777777777	95.42424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
177	129.77777777777777	96.66666666666667	125.09	1.352	1.175	-0.407	120.0	890.0
178	129.77777777777777	97.9090909090909	125.09	1.352	1.175	-0.407	120.0	890.0
179	129.77777777777777	99.15151515151516	125.09	1.352	1.175	-0.407	120.0	890.0
180	129.77777777777777	100.39393939393939	125.09	1.352	1.175	-0.407	120.0	890.0
181	129.77777777777777	101.63636363636364	125.09	1.352	1.175	-0.407	120.0	890.0
182	129.77777777777777	102.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
183	129.77777777777777	104.12121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
184	129.77777777777777	105.36363636363636	125.09	1.352	1.175	-0.407	120.0	890.0
185	129.77777777777777	106.60606060606061	125.09	1.352	1.175	-0.407	120.0	890.0
186	129.77777777777777	107.84848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
187	129.77777777777777	109.0909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
188	129.77777777777777	110.33333333333333	125.09	1.352	1.175	-0.407	120.0	890.0
189	129.77777777777777	111.57575757575758	125.09	1.352	1.175	-0.407	120.0	890.0
190	129.77777777777777	112.81818181818181	125.09	1.352	1.175	-0.407	120.0	890.0
191	129.77777777777777	114.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
192	129.77777777777777	115.3030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
193	129.77777777777777	116.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
194	129.77777777777777	117.78787878787878	125.09	1.352	1.175	-0.407	120.0	890.0
195	129.77777777777777	119.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
196	129.77777777777777	120.27272727272728	125.09	1.352	1.175	-0.407	120.0	890.0
197	129.77777777777777	121.51515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
198	129.77777777777777	122.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
199	129.77777777777777	124.0	125.09	1.352	1.175	-0.407	120.0	890.0
200	133.55555555555554	1.0	125.09	1.352	1.175	-0.407	120.0	890.0
201	133.55555555555554	2.242424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
202	133.55555555555554	3.484848484848485	125.09	1.352	1.175	-0.407	120.0	890.0
203	133.55555555555554	4.7272727272727275	125.09	1.352	1.175	-0.407	120.0	890.0
204	133.55555555555554	5.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
205	133.55555555555554	7.212121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
206	133.55555555555554	8.454545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
207	133.55555555555554	9.696969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
208	133.55555555555554	10.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
209	133.55555555555554	12.181818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
210	133.55555555555554	13.424242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
211	133.55555555555554	14.666666666666666	125.09	1.352	1.175	-0.407	120.0	890.0
212	133.55555555555554	15.90909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
