	mH1	mH2	mH3	thetahS	thetahX	thetaSX	vs	vx
0	125.09	126.0	640.0	-0.129	0.226	-0.899	140.0	100.0
1	125.09	126.37437437437437	640.0	-0.129	0.226	-0.899	140.0	100.0
2	125.09	126.74874874874875	640.0	-0.129	0.226	-0.899	140.0	100.0
3	125.09	127.12312312312312	640.0	-0.129	0.226	-0.899	140.0	100.0
4	125.09	127.49749749749749	640.0	-0.129	0.226	-0.899	140.0	100.0
5	125.09	127.87187187187187	640.0	-0.129	0.226	-0.899	140.0	100.0
6	125.09	128.24624624624624	640.0	-0.129	0.226	-0.899	140.0	100.0
7	125.09	128.62062062062063	640.0	-0.129	0.226	-0.899	140.0	100.0
8	125.09	128.99499499499498	640.0	-0.129	0.226	-0.899	140.0	100.0
9	125.09	129.36936936936937	640.0	-0.129	0.226	-0.899	140.0	100.0
10	125.09	129.74374374374375	640.0	-0.129	0.226	-0.899	140.0	100.0
11	125.09	130.1181181181181	640.0	-0.129	0.226	-0.899	140.0	100.0
12	125.09	130.4924924924925	640.0	-0.129	0.226	-0.899	140.0	100.0
13	125.09	130.86686686686687	640.0	-0.129	0.226	-0.899	140.0	100.0
14	125.09	131.24124124124126	640.0	-0.129	0.226	-0.899	140.0	100.0
15	125.09	131.6156156156156	640.0	-0.129	0.226	-0.899	140.0	100.0
16	125.09	131.98998998999	640.0	-0.129	0.226	-0.899	140.0	100.0
17	125.09	132.36436436436438	640.0	-0.129	0.226	-0.899	140.0	100.0
18	125.09	132.73873873873873	640.0	-0.129	0.226	-0.899	140.0	100.0
19	125.09	133.11311311311312	640.0	-0.129	0.226	-0.899	140.0	100.0
20	125.09	133.4874874874875	640.0	-0.129	0.226	-0.899	140.0	100.0
21	125.09	133.86186186186185	640.0	-0.129	0.226	-0.899	140.0	100.0
22	125.09	134.23623623623624	640.0	-0.129	0.226	-0.899	140.0	100.0
23	125.09	134.61061061061062	640.0	-0.129	0.226	-0.899	140.0	100.0
24	125.09	134.98498498498498	640.0	-0.129	0.226	-0.899	140.0	100.0
25	125.09	135.35935935935936	640.0	-0.129	0.226	-0.899	140.0	100.0
26	125.09	135.73373373373374	640.0	-0.129	0.226	-0.899	140.0	100.0
27	125.09	136.1081081081081	640.0	-0.129	0.226	-0.899	140.0	100.0
28	125.09	136.48248248248248	640.0	-0.129	0.226	-0.899	140.0	100.0
29	125.09	136.85685685685687	640.0	-0.129	0.226	-0.899	140.0	100.0
30	125.09	137.23123123123122	640.0	-0.129	0.226	-0.899	140.0	100.0
31	125.09	137.6056056056056	640.0	-0.129	0.226	-0.899	140.0	100.0
32	125.09	137.97997997998	640.0	-0.129	0.226	-0.899	140.0	100.0
33	125.09	138.35435435435434	640.0	-0.129	0.226	-0.899	140.0	100.0
34	125.09	138.72872872872873	640.0	-0.129	0.226	-0.899	140.0	100.0
35	125.09	139.1031031031031	640.0	-0.129	0.226	-0.899	140.0	100.0
36	125.09	139.47747747747746	640.0	-0.129	0.226	-0.899	140.0	100.0
37	125.09	139.85185185185185	640.0	-0.129	0.226	-0.899	140.0	100.0
38	125.09	140.22622622622623	640.0	-0.129	0.226	-0.899	140.0	100.0
39	125.09	140.60060060060061	640.0	-0.129	0.226	-0.899	140.0	100.0
40	125.09	140.97497497497497	640.0	-0.129	0.226	-0.899	140.0	100.0
41	125.09	141.34934934934935	640.0	-0.129	0.226	-0.899	140.0	100.0
42	125.09	141.72372372372374	640.0	-0.129	0.226	-0.899	140.0	100.0
